Date,Description,Amount
01/15/2025,SALARY DIRECT DEPOSIT,5500.00
01/16/2025,RENT PAYMENT,-2200.00
01/16/2025,ELECTRIC COMPANY,-125.50
01/17/2025,WALMART GROCERY,-156.32
01/17/2025,STARBUCKS COFFEE,-5.75
01/18/2025,UBER RIDE,-24.50
01/18/2025,NETFLIX SUBSCRIPTION,-15.99
01/19/2025,SHELL GAS STATION,-45.00
01/19/2025,TARGET STORE,-89.99
01/20/2025,DOORDASH RESTAURANT,-32.50
01/20/2025,CVS PHARMACY,-28.45
01/21/2025,AMAZON PURCHASE,-67.89
01/22/2025,GYM MEMBERSHIP,-50.00
01/23/2025,SPOTIFY PREMIUM,-9.99
01/24/2025,LYFT RIDE,-18.25
01/25/2025,COSTCO WHOLESALE,-234.56
01/26/2025,MOVIE THEATER,-28.00
01/27/2025,HAIR SALON,-45.00
01/28/2025,ATM FEE,-3.50
01/30/2025,FREELANCE PAYMENT,850.00
02/01/2025,SALARY DIRECT DEPOSIT,5500.00
02/02/2025,RENT PAYMENT,-2200.00
02/03/2025,ELECTRIC COMPANY,-118.75
02/04/2025,WALMART GROCERY,-142.88
02/05/2025,STARBUCKS COFFEE,-6.25
02/06/2025,UBER RIDE,-31.00
02/07/2025,UNITED AIRLINES,-450.00
02/08/2025,HOTEL MARRIOTT,-289.00
02/09/2025,RESTAURANT DINNER,-85.00
02/10/2025,APPLE STORE,-1299.00
02/11/2025,GEICO INSURANCE,-175.00
02/12/2025,STUDENT LOAN,-450.00
02/13/2025,WHOLE FOODS,-98.45
02/14/2025,VALENTINES FLOWERS,-75.00
02/15/2025,MOVIE THEATER,-32.00
02/16/2025,GAS STATION,-48.50
02/17/2025,DOORDASH,-28.75
02/18/2025,AMAZON PURCHASE,-45.99
02/19/2025,CVS PHARMACY,-35.20
02/20/2025,DENTIST OFFICE,-150.00
02/28/2025,INVESTMENT DIVIDEND,245.00
